hero_name,img_error_url,skin_name,time
Miya,https://img.mobilelegends.com/group1/M00/00/07/rB_-LVpMSaaAKfXrAA302ao1M7Y7336371,Captain Thorns,"2020-20-05, 03:24:04"
Alice,https://img.mobilelegends.com/group1/M00/00/07/rB_-LVpMSU6ABwg1AAnNMOeq2wQ2878252,Wizardry Teacher,"2020-20-05, 03:24:41"
Layla,https://img.mobilelegends.com/group1/M00/00/08/rB_-LVpMTIeALVbLAAp_XZ3Bhl02954229,Blue Spectre,"2020-20-05, 03:26:28"
Minotaur,https://img.mobilelegends.com/group1/M00/00/08/rB_-LVpMSvGAfngGAAt1ymR6-Mk3077094,Bursting Yama,"2020-20-05, 03:26:46"
Moskov,https://img.mobilelegends.com/group1/M00/00/08/rB_-LVpMS1aAZ715AAnSh3VlfWA3901711,Snake Eye Commander,"2020-20-05, 03:28:22"
Moskov,https://img.mobilelegends.com/group1/M00/00/08/rB_-LVpMSw-AbwnXAAjFcGomQRw2230887,Spear of Bone Dragon,"2020-20-05, 03:28:35"
Johnson,https://img.mobilelegends.com/group1/M00/00/08/rB_-LVpMS4uASplJAAkNly1OTfo1161307,Mustang,"2020-20-05, 03:28:47"
Miya,https://img.mobilelegends.com/group1/M00/00/8B/Cq2Ixlz-JVaABX1bAAfzL4qggr0748.jpg,Miya,"2020-20-05, 03:29:54"
Miya,https://img.mobilelegends.com/group1/M00/00/07/rB_-LVpMSaaAKfXrAA302ao1M7Y7336371,Captain Thorns,"2020-20-05, 03:29:59"
Layla,https://img.mobilelegends.com/group1/M00/00/08/rB_-LVpMTIeALVbLAAp_XZ3Bhl02954229,Blue Spectre,"2020-20-05, 03:33:20"
Minotaur,https://img.mobilelegends.com/group1/M00/00/08/rB_-LVpMSvGAfngGAAt1ymR6-Mk3077094,Bursting Yama,"2020-20-05, 03:33:41"
Vexana,https://img.mobilelegends.com/group1/M00/00/04/rB_-LVo7dvmAes3PAABD52PO0W4063.png,Nether Snare,"2020-20-05, 03:36:22"
Argus,https://img.mobilelegends.com/group1/M00/00/08/rB_-LVpMTT-AZio6AAJ5SZzj1Tw5249791,Nightstalker - Argus,"2020-20-05, 03:37:25"
Miya,https://img.mobilelegends.com/group1/M00/00/07/rB_-LVpMSaaAKfXrAA302ao1M7Y7336371,Captain Thorns,"2020-20-05, 03:48:03"
Alice,https://img.mobilelegends.com/group1/M00/00/07/rB_-LVpMSU6ABwg1AAnNMOeq2wQ2878252,Wizardry Teacher,"2020-20-05, 03:48:32"
Moskov,https://img.mobilelegends.com/group1/M00/00/08/rB_-LVpMS1aAZ715AAnSh3VlfWA3901711,Snake Eye Commander,"2020-20-05, 03:51:47"
Moskov,https://img.mobilelegends.com/group1/M00/00/08/rB_-LVpMSw-AbwnXAAjFcGomQRw2230887,Spear of Bone Dragon,"2020-20-05, 03:52:08"
